AVERAGE_GENE_EXPRESSION	r0.4_C0	r0.4_C1	r0.4_C2	r0.4_C5	r0.4_C6	r0.4_C7	r0.4_C10
UBE2J2	0.0725230355109225	0.089272030651341	0.0828106852497096	0.0983927019982624	0.0833549727343547	0.070954211814051	0.0481927710843374
RP5-902P8.10	0.00010353038616834	0	0.000116144018583043	0	0.000259672812256557	0	0
SCNN1D	0.000517651930841702	0.000459770114942529	0.000232288037166086	0	0.00077901843676967	0.00139811254806012	0
ACAP3	0.0109224557407599	0.0160919540229885	0.0118466898954704	0.0080364900086881	0.0137626590495975	0.0283117790982174	0.00401606425702811
PUSL1	0.0188942954757221	0.0216858237547893	0.0249709639953542	0.0234578627280626	0.0163593871721631	0.0223698007689619	0.0160642570281124
CPSF3L	0.0498498809400559	0.0691954022988506	0.0578397212543554	0.0579930495221547	0.0592054011944949	0.0604683677036001	0.0441767068273092
GLTPD1	0.026452013666011	0.0390804597701149	0.0238095238095238	0.0230234578627281	0.027525318099195	0.011883956658511	0.0240963855421687
TAS1R3	0.000258825965420851	0.000153256704980843	0	0.000217202432667246	0.00155803687353934	0	0
DVL1	0.00134589502018843	0.00222222222222222	0.00220673635307782	0.00173761946133797	0.00103869124902623	0.00489339391821042	0
MXRA8	0.000880008282430893	0.00053639846743295	0.000929152148664344	0.000217202432667246	0.000259672812256557	0.00034952813701503	0
AURKAIP1	0.197484211616109	0.293026819923372	0.244599303135889	0.270851433536056	0.260451830693326	0.459279972037749	0.172690763052209
CCNL2	0.0394450771301377	0.0406130268199234	0.0400696864111498	0.0373588184187663	0.0389509218384835	0.0314575323313527	0.00803212851405622
RP4-758J18.2	0.0338544362770473	0.0416858237547893	0.0331010452961672	0.0443092962641182	0.0428460140223319	0.0227193289059769	0.0160642570281124
MRPL20	0.159695620664665	0.177318007662835	0.173519163763066	0.183318853171156	0.135289535185666	0.277175812652919	0.124497991967871
RP4-758J18.13	0.000155295579252511	0.000229885057471264	0	0	0	0	0
ANKRD65	0.000258825965420851	0	0	0	0.00103869124902623	0.0139811254806012	0
VWA1	0.0000517651930841702	0	0	0	0	0.00139811254806012	0
ATAD3C	0.00227766849570349	0.00199233716475096	0.00418118466898955	0.00195482189400521	0.00207738249805245	0.00034952813701503	0
ATAD3B	0.00667770990785796	0.00735632183908046	0.00731707317073171	0.00716768027801911	0.00571280186964425	0.0104858441104509	0
ATAD3A	0.00735065741795217	0.0115708812260536	0.00743321718931475	0.0108601216333623	0.00882887561672293	0.0132820692065711	0.0120481927710843
SSU72	0.233098664458018	0.25455938697318	0.222996515679443	0.19005212858384	0.222799272916126	0.197483397413492	0.112449799196787
AL645728.1	0.0111295165130966	0.0114176245210728	0.0126596980255517	0.00999131190269331	0.00856920280446637	0.00803914715134568	0
C1ORF233	0.000931773475515064	0.00130268199233716	0.000696864111498258	0.00173761946133797	0.00103869124902623	0.00768961901433065	0
RP11-345P4.9	0.0123718811471167	0.0134865900383142	0.00905923344947735	0.00673327541268462	0.0101272396780057	0.0171268787137365	0
MIB2	0.0734030437933533	0.103984674329502	0.124506387921022	0.235230234578627	0.0511555440145417	0.0394966794826984	0.036144578313253
MMP23B	0.00144942540635677	0.00222222222222222	0.0140534262485482	0.0612510860121633	0.00129836406128278	0.00139811254806012	0.00803212851405622
CDK11B	0.0189460606688063	0.0238314176245211	0.0205574912891986	0.0232406602953953	0.0215528434172942	0.0227193289059769	0.0120481927710843
RP11-345P4.10	0.000207060772336681	0.000306513409961686	0.000580720092915215	0.000217202432667246	0.000259672812256557	0	0
SLC35E2B	0.0083341960865514	0.0104214559386973	0.00963995354239257	0.00847089487402259	0.0111659309270319	0.00699056274030059	0.00401606425702811
CDK11A	0.0478828036028574	0.0599233716475096	0.0523809523809524	0.0534317984361425	0.0490781615164892	0.058720727018525	0.0240963855421687
SLC35E2	0.00305414639196604	0.00275862068965517	0.00116144018583043	0.00347523892267593	0.00285640093482212	0.00139811254806012	0
NADK	0.00388238948131277	0.00444444444444444	0.00499419279907085	0.01498696785404	0.0129836406128278	0.0325061167423978	0.0160642570281124
GNB1	0.0188942954757221	0.0313409961685824	0.0313588850174216	0.0399652476107732	0.034536484030122	0.0751485494582314	0.0522088353413655
RP1-140A9.1	0.000517651930841702	0.0000766283524904215	0.000232288037166086	0	0.00103869124902623	0.00034952813701503	0
CALML6	0	0.0000766283524904215	0.000232288037166086	0	0	0	0
TMEM52	0.000724712703178383	0.000459770114942529	0.000696864111498258	0.000868809730668984	0.00077901843676967	0.00139811254806012	0
C1ORF222	0.0000517651930841702	0	0	0	0	0.000699056274030059	0
GABRD	0.0000517651930841702	0	0	0	0	0	0.0120481927710843
PRKCZ	0.0100942126514132	0.0180842911877395	0.0171893147502904	0.0154213727193745	0.0111659309270319	0.00419433764418036	0.00803212851405622
RP5-892K4.1	0.000414121544673362	0.000229885057471264	0.000580720092915215	0.000217202432667246	0.000259672812256557	0.000699056274030059	0
RP11-181G12.2	0.000310591158505021	0.000306513409961686	0.000696864111498258	0.000651607298001738	0	0	0
C1ORF86	0.161455637229527	0.192490421455939	0.191405342624855	0.182232841007819	0.231368475720592	0.324362111149948	0.156626506024096
AL590822.2	0.000362356351589191	0.000766283524904215	0.000696864111498258	0.00130321459600348	0.000519345624513113	0.00034952813701503	0
AL590822.1	0.000155295579252511	0.000153256704980843	0.000116144018583043	0	0	0.00034952813701503	0
SKI	0.0111295165130966	0.0130268199233716	0.00917537746806039	0.00716768027801911	0.00830952999220982	0.0181754631247815	0.0200803212851406
MORN1	0.0013976602132726	0.00130268199233716	0.000929152148664344	0.00347523892267593	0.00233705531030901	0.00314575323313527	0
RER1	0.0875349415053318	0.134176245210728	0.122764227642276	0.140747176368375	0.112178654894833	0.137015029709892	0.0803212851405622
PEX10	0.0067812402940263	0.00697318007662835	0.00882694541231127	0.0104257167680278	0.00882887561672293	0.0111849003844809	0.0120481927710843
PLCH2	0.000931773475515064	0.00206896551724138	0.00336817653890825	0.00456125108601216	0.000519345624513113	0.00034952813701503	0
PANK4	0.0083341960865514	0.00973180076628353	0.00824622531939605	0.00977410947002606	0.00830952999220982	0.00664103460328556	0.00803212851405622
RP3-395M20.12	0.0404286157987369	0.0511877394636015	0.0521486643437863	0.0762380538662033	0.0428460140223319	0.0415938483047885	0.0321285140562249
TNFRSF14	0.143959001967077	0.19823754789272	0.154006968641115	0.160729800173762	0.204881848870423	0.105907025515554	0.0682730923694779
RP3-395M20.7	0	0.0000766283524904214	0	0	0	0	0
RP3-395M20.9	0.00512475411533285	0.00636015325670498	0.00371660859465738	0.000434404865334492	0.00597247468190081	0.00034952813701503	0.00401606425702811
FAM213B	0.00859302205197225	0.0115708812260536	0.0104529616724739	0.00738488271068636	0.00701116593092703	0.00629150646627053	0.00803212851405622
MMEL1	0.00357179832280774	0.00153256704980843	0.000813008130081301	0.000217202432667246	0.000259672812256557	0.000699056274030059	0
TTC34	0.000621182317010042	0.000613026819923372	0.000580720092915215	0.000868809730668983	0.000259672812256557	0.00034952813701503	0
PRDM16	0	0	0.000116144018583043	0.00195482189400521	0.000259672812256557	0	0
ARHGEF16	0	0.000153256704980843	0.000232288037166086	0	0	0	0
MEGF6	0.00377885909514442	0.00298850574712644	0.00197444831591173	0.000868809730668984	0.00363541937159179	0.00244669695910521	0
RP11-46F15.2	0.000207060772336681	0.000153256704980843	0.000464576074332172	0.000217202432667246	0	0	0
TPRG1L	0.00771301376954136	0.00980842911877395	0.00754936120789779	0.0080364900086881	0.00623214749415736	0.012233484795526	0
WRAP73	0.0202919556889947	0.0285057471264368	0.0252032520325203	0.0241094700260643	0.0254479356011426	0.0248164977280671	0.00401606425702811
TP73	0	0	0	0.000217202432667246	0.000259672812256557	0	0
TP73-AS1	0.00517651930841702	0.00406130268199234	0.00290360046457607	0.00347523892267593	0.00571280186964425	0.00629150646627053	0.00401606425702811
SMIM1	0.00559064085309038	0.00206896551724138	0.0024390243902439	0.00173761946133797	0.00545312905738769	0.00174764068507515	0.036144578313253
LRRC47	0.033440314732374	0.038007662835249	0.032520325203252	0.037141615986099	0.0342768112178655	0.0335547011534429	0.0160642570281124
CEP104	0.0123718811471167	0.0179310344827586	0.0178861788617886	0.0191138140747176	0.0168787327966762	0.0143306536176162	0.0120481927710843
DFFB	0.00672947510094213	0.00498084291187739	0.00615563298490128	0.0052128583840139	0.00519345624513113	0.00384480950716533	0.00401606425702811
C1ORF174	0.0196707733719847	0.0186206896551724	0.0181184668989547	0.0358384013900956	0.018177096857959	0.0160782943026914	0.00803212851405622
LINC01134	0.00010353038616834	0	0	0.000434404865334492	0.00077901843676967	0.00104858441104509	0
AJAP1	0.000414121544673362	0	0	0	0	0	0
NPHP4	0.000517651930841702	0.00137931034482759	0.00104529616724739	0.00108601216333623	0.00129836406128278	0.00489339391821042	0.00401606425702811
KCNAB2	0.0339062014701315	0.0521072796934866	0.0551684088269454	0.0690703735881842	0.0262269540379122	0.0761971338692765	0.0240963855421687
CHD5	0	0	0	0.000217202432667246	0	0	0
RPL22	1.6455119577596	1.44919540229885	1.08455284552846	0.610773240660295	1.20306413918463	0.933589653967144	0.57429718875502
RP1-120G22.11	0.00010353038616834	0.000229885057471264	0.000116144018583043	0	0	0	0
RNF207	0.000207060772336681	0.00268199233716475	0.00116144018583043	0	0.000519345624513113	0	0.00401606425702811
ICMT	0.00616005797701625	0.0103448275862069	0.00871080139372822	0.0128149435273675	0.00597247468190081	0.00803914715134568	0.00401606425702811
LINC00337	0.0000517651930841702	0	0	0.000217202432667246	0.000259672812256557	0	0
GPR153	0.0000517651930841702	0	0.000232288037166086	0.00195482189400521	0	0.00104858441104509	0
ACOT7	0.00207060772336681	0.0111111111111111	0.00592334494773519	0.0271503040834057	0.00285640093482212	0.0111849003844809	0.0481927710843374
RP1-202O8.3	0.00496945853608034	0.00352490421455939	0.00418118466898955	0.00173761946133797	0.00519345624513113	0.00419433764418036	0
ESPN	0.000931773475515064	0.00421455938697318	0.0032520325203252	0.000651607298001738	0.000259672812256557	0	0
TNFRSF25	0.0652241432860545	0.132183908045977	0.0808362369337979	0.024761077324066	0.00986756686574916	0.0111849003844809	0.0200803212851406
PLEKHG5	0.00119059944093591	0.000689655172413793	0.000580720092915215	0.000217202432667246	0.000259672812256557	0	0.00401606425702811
NOL9	0.00776477896262553	0.00896551724137931	0.00743321718931475	0.00825369244135534	0.00830952999220982	0.011534428521496	0.0120481927710843
ZBTB48	0.0106636297753391	0.0134865900383142	0.0123112659698026	0.0167245873153779	0.0171384056089327	0.0192240475358266	0.00401606425702811
KLHL21	0.00636711874935294	0.0105747126436782	0.00917537746806039	0.00608166811468288	0.00597247468190081	0.00594197832925551	0.00401606425702811
PHF13	0.00264002484729268	0.00337164750957854	0.00197444831591173	0.0028236316246742	0.00311607374707868	0.00209716882209018	0.00401606425702811
THAP3	0.0216896159022673	0.0265900383141762	0.0220673635307782	0.0330147697654214	0.0267462996624253	0.0206221600838868	0.0120481927710843
DNAJC11	0.00776477896262553	0.00789272030651341	0.00638792102206736	0.0102085143353606	0.0096078940534926	0.0111849003844809	0.00803212851405622
RP11-312B8.1	0.000724712703178383	0.00053639846743295	0.00104529616724739	0.000217202432667246	0.00285640093482212	0.00174764068507515	0
CAMTA1	0.0524381405942644	0.0723371647509579	0.0554006968641115	0.050390964378801	0.0729680602440924	0.0510311080041943	0.21285140562249
VAMP3	0.0135107153949684	0.0192337164750958	0.0142857142857143	0.0217202432667246	0.0132433134250844	0.0367004543865781	0.0160642570281124
PER3	0.00176001656486179	0.00314176245210728	0.00267131242740999	0.00347523892267593	0.00077901843676967	0.000699056274030059	0.00803212851405622
RP3-467L1.4	0.0000517651930841702	0.000229885057471264	0.000348432055749129	0	0.000259672812256557	0.00034952813701503	0
UTS2	0.000207060772336681	0.00490421455938697	0.0117305458768873	0.0156385751520417	0.00077901843676967	0	0
TNFRSF9	0.000155295579252511	0.00145593869731801	0.00569105691056911	0.00217202432667246	0	0	0
PARK7	0.366652862615178	0.492873563218391	0.467479674796748	0.569721980886186	0.485068813295248	0.590353023418385	0.755020080321285
ERRFI1	0.000465886737757532	0	0.000929152148664344	0.000434404865334492	0	0	0
RP11-431K24.1	0.00010353038616834	0.000306513409961686	0	0.000434404865334492	0	0	0
SLC45A1	0.000776477896262553	0.000919540229885057	0.00116144018583043	0.000651607298001738	0.000519345624513113	0	0
RERE	0.0104565690030024	0.0114176245210728	0.0127758420441347	0.0117289313640313	0.0212931706050377	0.0181754631247815	0.00803212851405622
RP5-1115A15.1	0.000983538668599234	0.000842911877394636	0.00139372822299652	0.000434404865334492	0.00077901843676967	0.00209716882209018	0
ENO1	0.45196190081789	0.64727969348659	0.536933797909408	0.529322328410078	0.451311347701896	0.772457182803216	0.534136546184739
ENO1-AS1	0.00626358836318459	0.00490421455938697	0.00394889663182346	0.0023892267593397	0.00441443780836146	0.00104858441104509	0.00401606425702811
CA6	0.00911067398281396	0.000919540229885057	0.0024390243902439	0.000434404865334492	0	0	0.00401606425702811
SLC2A7	0.00010353038616834	0	0.000116144018583043	0	0	0	0
SLC2A5	0.00010353038616834	0	0.000116144018583043	0	0.00415476499610491	0	0
GPR157	0.00160472098560928	0.000842911877394636	0.000929152148664344	0	0.000259672812256557	0.000699056274030059	0
H6PD	0.00455533699140698	0.00582375478927203	0.00603948896631823	0.00825369244135534	0.0077901843676967	0.0104858441104509	0
SPSB1	0.00186354695103013	0.00482758620689655	0.00127758420441347	0.000868809730668984	0.00259672812256557	0	0.0481927710843374
SLC25A33	0.0151672015736619	0.015632183908046	0.0178861788617886	0.0160729800173762	0.0197351337314983	0.0293603635092625	0.00803212851405622
TMEM201	0.0010353038616834	0.000613026819923372	0.00116144018583043	0.000868809730668983	0.00103869124902623	0.00209716882209018	0
PIK3CD	0.0372709390206025	0.0360153256704981	0.0335656213704994	0.0351867940920938	0.025188262788886	0.0363509262495631	0.0240963855421687
C1ORF200	0.00108706905476757	0.000689655172413793	0.000696864111498258	0	0.00311607374707868	0.00139811254806012	0
RP11-558F24.4	0.0019153121441143	0.000919540229885057	0.000464576074332172	0.00130321459600348	0.00103869124902623	0	0
CLSTN1	0.0326638368361114	0.0456704980842912	0.0368176538908246	0.0343179843614249	0.025188262788886	0.0265641384131423	0.00401606425702811
CTNNBIP1	0.0127342374987059	0.0201532567049808	0.0303135888501742	0.08123370981755	0.0212931706050377	0.0863334498427123	0.0843373493975904
RP11-84A14.5	0	0	0.000116144018583043	0	0	0	0
LZIC	0.0332332539600373	0.0386206896551724	0.0340301974448316	0.0314943527367506	0.0257076084133991	0.0188745193988116	0.0562248995983936
NMNAT1	0.00502122372916451	0.00375478927203065	0.00476190476190476	0.0052128583840139	0.0077901843676967	0.00524292205522545	0
RBP7	0.000155295579252511	0.000383141762452107	0.000232288037166086	0.000434404865334492	0	0.108353722474659	0
UBE4B	0.0174448700693654	0.021992337164751	0.0176538908246225	0.00955690703735882	0.0114256037392885	0.00664103460328556	0.0160642570281124
KIF1B	0.00160472098560928	0.00482758620689655	0.0032520325203252	0.00369244135534318	0.0018177096857959	0.00559245019224047	0.0120481927710843
PGD	0.0198778341443214	0.0196934865900383	0.016144018583043	0.0236750651607298	0.0264866268501688	0.0873820342537574	0.184738955823293
RP4-736L20.3	0.0000517651930841702	0.0000766283524904215	0	0.000217202432667246	0	0	0
APITD1	0.00631535355626876	0.00727969348659004	0.00580720092915215	0.00868809730668984	0.0101272396780057	0.00139811254806012	0
APITD1-CORT	0	0.0000766283524904215	0.000232288037166086	0	0.000259672812256557	0	0
CORT	0	0.0000766283524904215	0	0	0	0.00034952813701503	0
DFFA	0.0202919556889947	0.0222988505747126	0.0255516840882695	0.0304083405734144	0.0288236821604778	0.0199231038098567	0.00401606425702811
PEX14	0.00880008282430893	0.0117241379310345	0.00801393728222997	0.0145525629887055	0.00934822124123604	0.00664103460328556	0
CASZ1	0.000569417123925872	0.00122605363984674	0.000813008130081301	0.00325803649000869	0.00155803687353934	0.00279622509612024	0
TARDBP	0.0303344031473237	0.0311111111111111	0.0283391405342625	0.0286707211120765	0.0270059724746819	0.0304089479203076	0.00401606425702811
RP4-635E18.8	0.00186354695103013	0.000996168582375479	0.00255516840882695	0.00152041702867072	0.00311607374707868	0.00034952813701503	0
SRM	0.104099803292266	0.142298850574713	0.160627177700348	0.105125977410947	0.17346143858738	0.141558895491087	0.0803212851405622
EXOSC10	0.0158401490837561	0.0171647509578544	0.0182346109175377	0.01498696785404	0.020514152168268	0.0181754631247815	0.0160642570281124
RP4-635E18.7	0.000155295579252511	0.0000766283524904215	0.000116144018583043	0	0	0	0
RP4-635E18.6	0	0.000383141762452107	0.000348432055749129	0.000651607298001738	0.00103869124902623	0.000699056274030059	0
MTOR	0.004865928149912	0.00528735632183908	0.00476190476190476	0.00564726324934839	0.00675149311867048	0.00768961901433065	0
UBIAD1	0.0329226628015322	0.0291187739463602	0.0222996515679443	0.0175933970460469	0.0337574655933524	0.0146801817546312	0.00803212851405622
PTCHD2	0.000155295579252511	0	0.000116144018583043	0	0	0	0
FBXO2	0.00621182317010042	0.00827586206896552	0.0153310104529617	0.0188966116420504	0.0096078940534926	0.000699056274030059	0.00401606425702811
FBXO44	0.0216378507091831	0.0211494252873563	0.024274099883856	0.0241094700260643	0.027525318099195	0.0139811254806012	0.00401606425702811
FBXO6	0.007298892224868	0.012183908045977	0.0284552845528455	0.0986099044309296	0.0225915346663204	0.0573226144704649	0.0160642570281124
MAD2L2	0.0376332953721917	0.0596168582375479	0.0628339140534263	0.0983927019982624	0.0495975071410023	0.0880810905277875	0.0200803212851406
DRAXIN	0.000569417123925872	0.00053639846743295	0.00150987224157956	0.00564726324934839	0.00155803687353934	0.00104858441104509	0
AGTRAP	0.0445180660523864	0.0522605363984674	0.0662020905923345	0.18375325803649	0.0368735393404311	0.212163579168123	0.0682730923694779
C1ORF167	0.0000517651930841702	0	0	0	0	0	0
MTHFR	0.00445180660523864	0.00406130268199234	0.00452961672473868	0.0080364900086881	0.00856920280446637	0.0192240475358266	0.00803212851405622
CLCN6	0.0013976602132726	0.00114942528735632	0.00255516840882695	0.00173761946133797	0.00623214749415736	0.00664103460328556	0.00401606425702811
NPPA-AS1	0.000155295579252511	0.000229885057471264	0	0	0.000259672812256557	0.00104858441104509	0.0120481927710843
KIAA2013	0.00429651102598613	0.00590038314176245	0.00615563298490128	0.0119461337966985	0.0106465853025188	0.0321565886053827	0.0200803212851406
PLOD1	0.000621182317010042	0.000842911877394636	0.000580720092915215	0.00847089487402259	0.00233705531030901	0.0220202726319469	0.0120481927710843
MFN2	0.00605652759084791	0.00796934865900383	0.00952380952380952	0.00629887054735013	0.00934822124123604	0.00734009087731562	0.0120481927710843
MIIP	0.0291438037063878	0.0478927203065134	0.0398373983739837	0.0393136403127715	0.0602440924435212	0.070954211814051	0.0120481927710843
TNFRSF8	0	0.0000766283524904215	0.000232288037166086	0	0.00077901843676967	0.00838867528836071	0
TNFRSF1B	0.016409566207682	0.0622988505747126	0.035191637630662	0.0571242397914857	0.0293430277849909	0.17231737154841	0.0240963855421687
VPS13D	0.0107153949684232	0.0124904214559387	0.00963995354239257	0.00673327541268462	0.00804985717995326	0.0139811254806012	0.00803212851405622
RP5-888M10.2	0	0.0000766283524904214	0	0	0	0	0
DHRS3	0.0110259861269283	0.00766283524904215	0.00836236933797909	0.0258470894874023	0.00077901843676967	0.011883956658511	0.0281124497991968
RP11-474O21.5	0.00010353038616834	0	0.000116144018583043	0.00152041702867072	0	0	0.00401606425702811
LRRC38	0.0000517651930841702	0	0	0	0	0	0
PRDM2	0.0191013562480588	0.0216858237547893	0.0200929152148664	0.0267158992180712	0.0423266683978187	0.0223698007689619	0.0120481927710843
TMEM51	0	0	0	0.000217202432667246	0	0.00244669695910521	0
FHAD1	0	0	0.000116144018583043	0.000217202432667246	0.000259672812256557	0.00034952813701503	0
RP3-467K16.2	0	0	0	0	0	0	0
RP3-467K16.4	0.00010353038616834	0.0000766283524904215	0.000813008130081301	0.0121633362293658	0	0.00034952813701503	0
EFHD2	0.011854229216275	0.0277394636015326	0.0586527293844367	0.380755864465682	0.0373928849649442	0.253058371198882	0.0281124497991968
CTRC	0	0	0	0.000651607298001738	0	0	0
CASP9	0.00362356351589191	0.00490421455938697	0.00615563298490128	0.0162901824500434	0.0153206959231368	0.0136315973435862	0.0281124497991968
DNAJC16	0.0019153121441143	0.00268199233716475	0.00336817653890825	0.00152041702867072	0.00415476499610491	0.00244669695910521	0.00401606425702811
RP4-680D5.8	0.000724712703178383	0.000153256704980843	0.000116144018583043	0	0	0	0
AGMAT	0.0231908065017083	0.0153256704980843	0.00720092915214866	0.00152041702867072	0.0148013502986237	0.00174764068507515	0.00401606425702811
DDI2	0.00408945025364945	0.00383141762452107	0.00441347270615563	0.00412684622067767	0.00623214749415736	0.00699056274030059	0.00803212851405622
RP4-680D5.9	0.00010353038616834	0	0.000116144018583043	0	0.000259672812256557	0.000699056274030059	0
PLEKHM2	0.00574593643234289	0.00620689655172414	0.00580720092915215	0.00564726324934839	0.0106465853025188	0.0370499825235932	0.0120481927710843
SLC25A34	0.000258825965420851	0.000153256704980843	0	0	0.000519345624513113	0	0
FBLIM1	0.000828243089346723	0.0010727969348659	0.00116144018583043	0.00217202432667246	0.00363541937159179	0.00279622509612024	0
RP11-169K16.9	0.0479345687959416	0.0412260536398467	0.0376306620209059	0.0299739357080799	0.0446637237081278	0.0527787486892695	0.0562248995983936
SPEN	0.00978362149290817	0.0143295019157088	0.0110336817653891	0.0162901824500434	0.013502986237341	0.00978678783642083	0.0200803212851406
ZBTB17	0.0121130551816958	0.0129501915708812	0.0101045296167247	0.00955690703735882	0.0145416774863672	0.0104858441104509	0.0120481927710843
EPHA2	0.0000517651930841702	0.000153256704980843	0	0	0	0.00034952813701503	0
ARHGEF19	0.00926596956206647	0.0110344827586207	0.0132404181184669	0.0165073848827107	0.0127239678005713	0.0101363159734359	0.00401606425702811
C1ORF134	0.00010353038616834	0.0000766283524904214	0.000116144018583043	0.000217202432667246	0.00077901843676967	0.00034952813701503	0
RSG1	0.00227766849570349	0.00398467432950192	0.00441347270615563	0.00434404865334492	0.00467411062061802	0.00314575323313527	0
FBXO42	0.0067812402940263	0.00659003831417625	0.00731707317073171	0.00781928757602085	0.00727083874318359	0.00768961901433065	0
SZRD1	0.0370638782482659	0.0493486590038314	0.0470383275261324	0.0601650738488271	0.0566086730719294	0.0408947920307585	0.0441767068273092
SPATA21	0.000362356351589191	0.0000766283524904215	0.000116144018583043	0.000651607298001738	0	0	0.00401606425702811
NECAP2	0.189460606688063	0.216015325670498	0.144018583042973	0.117723718505647	0.132433134250844	0.0908773156239077	0.108433734939759
RP4-798A10.2	0.00155295579252511	0.00130268199233716	0.000929152148664344	0.000868809730668983	0.00077901843676967	0.00104858441104509	0
RP4-798A10.7	0.0010353038616834	0.000842911877394636	0.000580720092915215	0.00108601216333623	0.000259672812256557	0.000699056274030059	0
RP4-798A10.4	0.00010353038616834	0.000153256704980843	0.000232288037166086	0.000434404865334492	0	0.00034952813701503	0
NBPF1	0.00812713531421472	0.00605363984674329	0.00952380952380952	0.00847089487402259	0.0101272396780057	0.0136315973435862	0.0120481927710843
CROCCP2	0.0252096490319909	0.0226053639846743	0.0226480836236934	0.023892267593397	0.0262269540379122	0.012233484795526	0
CROCC	0.00610829278393208	0.0131034482758621	0.0102206736353078	0.0117289313640313	0.00908854842897949	0.00594197832925551	0.00401606425702811
U1.1	0.0000517651930841702	0.000153256704980843	0	0	0	0	0
RP11-108M9.4	0.0132001242364634	0.0129501915708812	0.0150987224157956	0.0208514335360556	0.0210334977927811	0.0373995106606082	0.00401606425702811
RP11-108M9.6	0.00440004141215447	0.00406130268199234	0.00511033681765389	0.00738488271068636	0.0018177096857959	0.00139811254806012	0
ATP13A2	0.00957656072057149	0.0162452107279693	0.0120789779326365	0.0128149435273675	0.00623214749415736	0.0094372596994058	0.00401606425702811
SDHB	0.100528004969459	0.128582375478927	0.103252032520325	0.118158123370982	0.13347182549987	0.139461726668997	0.0522088353413655
PADI2	0	0	0	0	0.000259672812256557	0.00559245019224047	0
PADI4	0.00993891707216068	0.00130268199233716	0.00429732868757259	0.00260642919200695	0.0101272396780057	0.0209716882209018	0.136546184738956
RCC2	0.00496945853608034	0.00620689655172414	0.00627177700348432	0.0139009556907037	0.0111659309270319	0.0300594197832926	0.0120481927710843
ARHGEF10L	0	0.0000766283524904215	0	0	0.000519345624513113	0.0178259349877665	0
ALDH4A1	0.000672947510094213	0.000613026819923372	0.000929152148664344	0.000651607298001738	0.00129836406128278	0.00384480950716533	0
